timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
20/07/2017 21:42,1178,227 /Gmg.Identity.Provider.FrontEnd.Web/Login,200,OK,Thread Group 1-10,text,true,,3320,541,1,1,1177,0,1031
20/07/2017 21:42,1178,URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,3320,541,1,1,1177,183,1031
20/07/2017 21:42,1591,233 /Gmg.Identity.Provider.FrontEnd.Web/Login/ExecuteLogin?SiteId=D94F606AB0A04F499764957A453C7846,200,OK,Thread Group 1-10,text,true,,3300,856,1,1,1590,0,0
20/07/2017 21:42,86,49 /gmg.identity.provider.frontend.web/,200,OK,Thread Group 1-10,text,true,,2504,735,1,1,86,0,49
20/07/2017 21:42,500,234 /portal-servicios/inicio.html,200,OK,Thread Group 1-10,text,true,,1865,7874,1,1,499,0,296
20/07/2017 21:42,2177,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-10,,true,,7669,9465,1,1,2175,19,345
20/07/2017 21:42,66,330 /Gmg.Identity.Provider.FrontEnd.Web/Logout,200,OK,Thread Group 1-10,text,true,,2820,660,1,1,66,0,0
20/07/2017 21:42,66,LogOut,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,2820,660,1,1,66,1,0
20/07/2017 21:42,53,227 /Gmg.Identity.Provider.FrontEnd.Web/Login,200,OK,Thread Group 1-10,text,true,,3179,627,1,1,53,0,0
20/07/2017 21:42,53,URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,3179,627,1,1,53,1,0
20/07/2017 21:42,1627,233 /Gmg.Identity.Provider.FrontEnd.Web/Login/ExecuteLogin?SiteId=D94F606AB0A04F499764957A453C7846,200,OK,Thread Group 1-10,text,true,,3297,856,1,1,1626,0,0
20/07/2017 21:42,21,49 /gmg.identity.provider.frontend.web/,200,OK,Thread Group 1-10,text,true,,2504,735,1,1,21,0,11
20/07/2017 21:42,237,234 /portal-servicios/inicio.html,200,OK,Thread Group 1-10,text,true,,1865,7866,1,1,237,0,62
20/07/2017 21:42,1885,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-10,,true,,7666,9457,1,1,1884,4,73
20/07/2017 21:42,44,330 /Gmg.Identity.Provider.FrontEnd.Web/Logout,200,OK,Thread Group 1-10,text,true,,2820,660,1,1,44,0,0
20/07/2017 21:42,44,LogOut,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,2820,660,1,1,44,1,0
20/07/2017 21:42,47,227 /Gmg.Identity.Provider.FrontEnd.Web/Login,200,OK,Thread Group 1-10,text,true,,3179,627,1,1,47,0,0
20/07/2017 21:42,47,URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,3179,627,1,1,47,0,0
20/07/2017 21:42,890,233 /Gmg.Identity.Provider.FrontEnd.Web/Login/ExecuteLogin?SiteId=D94F606AB0A04F499764957A453C7846,200,OK,Thread Group 1-10,text,true,,3297,856,1,1,889,0,0
