2017/08/24 05:13:08 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2017/08/24 05:13:09 INFO  - jmeter.JMeter: Loading user properties from: D:\Vector\Performance\bin\user.properties 
2017/08/24 05:13:09 INFO  - jmeter.JMeter: Loading system properties from: D:\Vector\Performance\bin\system.properties 
2017/08/24 05:13:09 INFO  - jmeter.JMeter: Copyright (c) 1998-2016 The Apache Software Foundation 
2017/08/24 05:13:09 INFO  - jmeter.JMeter: Version 3.1 r1770033 
2017/08/24 05:13:09 INFO  - jmeter.JMeter: java.version=1.8.0_144 
2017/08/24 05:13:09 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2017/08/24 05:13:09 INFO  - jmeter.JMeter: os.name=Windows Server 2016 
2017/08/24 05:13:09 INFO  - jmeter.JMeter: os.arch=amd64 
2017/08/24 05:13:09 INFO  - jmeter.JMeter: os.version=10.0 
2017/08/24 05:13:09 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2017/08/24 05:13:09 INFO  - jmeter.JMeter: Max memory     =3208118272 
2017/08/24 05:13:09 INFO  - jmeter.JMeter: Available Processors =4 
2017/08/24 05:13:09 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2017/08/24 05:13:09 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2017/08/24 05:13:09 INFO  - jmeter.JMeter: JMeterHome=D:\Vector\Performance 
2017/08/24 05:13:09 INFO  - jmeter.JMeter: user.dir  =D:\Vector\Performance\bin 
2017/08/24 05:13:09 INFO  - jmeter.JMeter: PWD       =D:\Vector\Performance\bin 
2017/08/24 05:13:09 INFO  - jmeter.JMeter: IP: 172.16.155.35 Name: REG05FRQ01 FullName: 172.16.155.35 
2017/08/24 05:13:10 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2017/08/24 05:13:10 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2017/08/24 05:13:15 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2017/08/24 05:13:15 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2017/08/24 05:13:21 INFO  - org.jmeterplugins.repository.PluginManager: Plugins Status: [jpgc-graphs-basic=2.0, jpgc-graphs-additional=2.0, jpgc-autostop=0.1, blazemeter-debugger=0.3, jpgc-sense=2.4, netflix-cassandra=0.2-SNAPSHOT, jpgc-cmd=2.1, jpgc-graphs-composite=2.0, jpgc-csl=0.1, jpgc-functions=2.0, custom-soap=1.3, jpgc-casutg=2.1, jpgc-dbmon=0.1, jpgc-directory-listing=0.1, jpgc-graphs-dist=2.0, jpgc-dummy=0.2, jpgc-filterresults=2.1, jpgc-ffw=2.0, jpgc-ggl=2.0, jpgc-httpraw=0.1, jpgc-sts=2.2, jpgc-hadoop=2.0, jpgc-fifo=0.2, jpgc-jms=0.2, jpgc-jmxmon=0.2, jpgc-json=2.6, jpgc-graphs-vs=2.0, kafkameter=0.2.0, jpgc-lockfile=0.1, mqtt-sampler=0.0.1-SNAPSHOT, jpgc-mergeresults=2.1, jpgc-oauth=0.1, jpgc-pde=0.1, jpgc-prmctl=0.3, jpgc-perfmon=2.1, jpgc-plugins-manager=0.11, jpgc-redis=0.2, jpgc-rotating-listener=0.1, ssh-sampler=1.1.1-SNAPSHOT, jpgc-webdriver=1.4.0, jpgc-synthesis=2.0, jpgc-plancheck=2.1, jpgc-tst=2.0, jpgc-udp=0.3, jpgc-csvars=0.1, tilln-wssecurity=1.1, websocket-sampler=1.0.2-SNAPSHOT, jpgc-wsc=0.1, jpgc-xml=0.1, jpgc-xmpp=1.5.1, jmeter-core=3.1, jmeter-ftp=3.1, jmeter-http=3.1, jmeter-jdbc=3.1, jmeter-jms=3.1, jmeter-junit=3.1, jmeter-java=3.1, jmeter-ldap=3.1, jmeter-mail=3.1, jmeter-mongodb=3.1, jmeter-native=3.1, jmeter-tcp=3.1, jmeter-components=3.1, jpgc-standard=2.0] 
2017/08/24 05:13:27 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.assertions.BSFAssertion 
2017/08/24 05:13:27 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.extractor.BSFPostProcessor 
2017/08/24 05:13:27 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.modifiers.BSFPreProcessor 
2017/08/24 05:13:27 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
